Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "untitled.brd" as of: 3/28/16 10:04 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.130,0.165,90
C2,Top,1.008,0.370,270
C3,Top,0.757,0.889,270
C4,Top,0.192,1.130,180
C5,Top,1.168,0.946,0
C6,Top,1.089,0.910,180
C7,Top,1.089,0.947,180
C8,Top,1.294,0.949,0
C9,Top,1.300,0.905,0
C10,Top,0.990,0.950,0
C11,Top,0.807,0.965,90
C12,Top,0.772,0.965,90
C13,Top,0.176,1.177,180
C14,Top,0.690,0.518,270
C15,Top,1.158,1.079,0
C16,Top,1.161,1.128,180
C17,Top,1.161,1.163,180
C18,Top,0.999,1.186,0
C19,Top,0.772,1.113,270
C20,Top,0.812,1.114,270
C21,Top,1.132,0.602,90
C23,Top,0.804,0.875,270
C24,Top,1.521,0.707,270
C25,Top,0.124,0.888,180
C26,Top,0.160,1.083,180
C27,Top,0.570,0.410,180
C28,Top,0.686,0.633,0
C29,Top,1.113,0.722,90
C30,Top,1.037,0.695,90
C32,Top,0.719,0.889,270
C33,Top,0.699,0.812,90
C34,Top,0.729,0.813,90
C36,Top,1.266,0.792,0
C68,Top,1.453,0.233,90
C74,Top,1.255,0.378,180
C76,Top,1.255,0.319,180
C79,Top,1.254,0.441,0
C80,Top,1.381,0.318,0
CF,Top,0.884,0.160,0
CN1,Top,1.426,1.149,0
D1,Top,1.119,0.356,270
IC2,Top,1.402,0.419,270
L2,Top,1.317,0.144,180
L3,Top,1.190,0.174,90
Q1,Top,0.128,0.129,90
Q3,Top,0.142,0.987,180
R1,Top,0.599,0.122,270
R2,Top,0.599,0.201,90
R3,Top,0.884,0.236,0
R4,Top,0.882,0.100,0
R8,Top,0.743,0.518,270
R9,Top,1.073,0.601,90
R10,Top,0.990,0.916,180
R11,Top,0.941,0.950,0
R13,Top,1.150,0.875,180
R14,Top,1.148,0.910,0
R20,Top,1.211,1.162,180
R21,Top,1.211,1.128,0
R23,Top,1.000,1.214,180
R24,Top,0.950,1.195,270
R26,Top,0.384,0.256,0
R27,Top,0.107,0.230,0
R43,Top,0.759,0.813,270
R44,Top,0.687,0.769,180
R45,Top,0.748,0.769,180
R53,Top,0.507,1.209,180
R65,Top,1.515,0.879,0
R70,Top,1.516,0.820,0
T1,Top,0.699,0.157,270
U$1,Top,0.355,0.370,270
U$2,Top,0.910,0.614,270
U$5,Top,0.915,0.828,270
U1,Top,0.771,0.342,270
U2,Top,1.010,0.187,270
U3,Top,0.982,1.067,180
U4,Top,0.373,0.138,270
U5,Top,0.489,0.977,0
U6,Top,0.497,0.584,0
U12,Top,1.321,0.232,180
U13,Top,1.851,0.729,0
U15,Top,1.335,0.657,0
U20,Top,0.158,0.616,90
