Value,Package,Designators
1M,R0201,R43
MMBF5457,SOT23,Q1
20p,C0402,C25;C26
1.5n,C0402,CF
Value,DBV0005A_N,U2
1u,C0402,C24;C68;C79;C80
ADG5401,MSOP08,U$1
ADG711BRUZ,SOP65P640X120-16N,U6
LT6005IGNPBF,SOP63P600X175-16N,U3
MBR0540LT,SOD123,D1
HC_05,BLUETOOTH_SMD,U13
AD8462,MSOP08,U$2
40,R0201,R26
100K,R0201,R65;R70
2.2u,C0402,C1
J-06-100-2X03,HDR-100-2X03,J3
BC846,SOT23,T1
FH12-5S-1SH,FH12-5S-1SH,U20
0.1p,C0402,C14;C21
750,R0402,R27
10uH,805,L2;L3
1M,R0402,R8;R9
13.3k,R0402,R4
100k,R0201,R53
10u,C0402,C8;C13;C23;C27;C29;C36;C74
LTC3525ESC6-5TRMPBF,SOT65P210X100-6N,U12
LT1800,SOT23-5,U$5
100n,C0201,C33;C34
820k,R0201,R10;R11;R13;R14;R20;R21;R23;R24
20k,R0201,R44;R45
JST-PH-2-SMT,adafruit,CN1
0.1u,C0201,C3;C4;C5;C6;C7;C9;C10;C11;C12;C15;C16;C17;C18;C19;C20;C28;C30;C32
662k,reg,IC2
0.1u,C0402,C76
4.7u,C0603,C2
INA282,SO08,U4
AD8276ARZMSOP,MSOP08,U1
ATMEGA328P_TQFP,TQFP32-08,U5
16M,Crystal,Q3
2.2k,R0201,R1;R2
376k,R0402,R3
TLE2426IDR,R_8,U15
